LOCATION,BOROUGH,POST TOWN,POSTCODE DISTRICT,DIAL CODE,OS GRID REF
Abbey Wood,Greenwich,LONDON,SE2,20,TQ465785
Acton,Ealing,LONDON,"W3, W4",20,TQ205805
Aldgate,City,LONDON,EC3,20,TQ334813
Aldwych,Westminster,LONDON,WC2,20,TQ307810
Anerley,Bromley,LONDON,SE20,20,TQ345695
Angel,Islington,LONDON,"EC1, N1",20,TQ345665
Archway,Islington,LONDON,N19,20,TQ285875
Arnos Grove,Enfield,LONDON,"N11, N14",20,TQ295925
Balham,Wandsworth,LONDON,SW12,20,TQ285735
Bankside,Southwark,LONDON,SE1,20,TQ325795
Barbican,City,LONDON,EC1,20,TQ322818
Barnes,Richmond upon Thames,LONDON,SW13,20,TQ225765
Barnsbury,Islington,LONDON,N1,20,TQ305845
Battersea,Wandsworth,LONDON,SW11,20,TQ285765
Bayswater,Westminster,LONDON,W2,20,TQ255805
Bedford Park,Ealing,LONDON,W4,20,TQ208793
Belgravia,Westminster,LONDON,SW1,20,TQ275795
Bellingham,Lewisham,LONDON,SE6,20,TQ375715
Belsize Park,Camden,LONDON,NW3,20,TQ273845
Bermondsey,Southwark,LONDON,SE1,20,TQ335795
Bethnal Green,Tower Hamlets,LONDON,E2,20,TQ345825
Blackfriars,City,LONDON,EC4,20,TQ318808
Blackheath,Lewisham,LONDON,SE3,20,TQ395765
Blackheath Park,Greenwich,LONDON,"SE3, SE12",20,TQ399753
Blackwall,Tower Hamlets,LONDON,E14,20,TQ385805
Bloomsbury,Camden,LONDON,WC1,20,TQ305825
Bounds Green,Haringey,LONDON,"N11, N22",20,TQ298914
Bow,Tower Hamlets,LONDON,E3,20,TQ365825
Bowes Park,Haringey,LONDON,N22,20,TQ305915
Brent Cross,Barnet,LONDON,"NW2, NW4",20,TQ230874
Brent Park,Brent,LONDON,NW10,20,TQ209852
Brixton,Lambeth,LONDON,"SW2, SW9",20,TQ315755
Brockley,Lewisham,LONDON,SE4,20,TQ365745
Bromley (also Bromley-by-Bow),Tower Hamlets,LONDON,E3,20,TQ375825
Brompton,Kensington and Chelsea,LONDON,SW3,20,TQ275795
Brondesbury,Brent,LONDON,NW6,20,TQ245845
Brunswick Park,Barnet,LONDON,N11,20,TQ280932
"Burroughs, The",Barnet,LONDON,NW4,20,TQ227891
Camberwell,Southwark,LONDON,SE5,20,TQ325767
Cambridge Heath,Tower Hamlets,LONDON,E2,20,TQ348832
Camden Town,Camden,LONDON,NW1,20,TQ295845
Canary Wharf,Tower Hamlets,LONDON,E14,20,TQ375802
Cann Hall,Waltham Forest,LONDON,E11,20,TQ395875
Canning Town,Newham,LONDON,E16,20,TQ405815
Canonbury,Islington,LONDON,N1,20,TQ325845
Castelnau,Richmond upon Thames,LONDON,SW13,20,TQ226776
Catford,Lewisham,LONDON,SE6,20,TQ385735
Chalk Farm,Camden,LONDON,NW1,20,TQ281844
Charing Cross,Westminster,LONDON,WC2,20,TQ305805
Charlton,Greenwich,LONDON,SE7,20,TQ415785
Chelsea,Kensington and Chelsea,LONDON,SW3,20,TQ275775
Childs Hill,Barnet,LONDON,NW2,20,TQ245865
Chinatown,Westminster,LONDON,W1,20,TQ395895
Chinbrook,Lewisham,LONDON,SE12,20,TQ411722
Chingford,Waltham Forest,LONDON,E4,20,TQ395945
Chiswick,Hounslow & Ealing,LONDON,W4,20,TQ205785
Church End,Brent,LONDON,NW10,20,TQ205785
Church End,Barnet,LONDON,N3,20,TQ255905
Clapham,Lambeth,LONDON,SW4,20,TQ295755
Clerkenwell,Islington,LONDON,EC1,20,TQ315825
Colindale,Barnet,LONDON,NW9,20,TQ213897
Colliers Wood,Merton,LONDON,SW19,20,TQ275705
Colney Hatch,Barnet,LONDON,"N11, N10",20,TQ278918
Covent Garden,Westminster,LONDON,WC2,20,TQ303809
Cricklewood,"Barnet, Brent, Camden",LONDON,NW2,20,TQ235855
Crofton Park,Lewisham,LONDON,SE4,20,TQ367744
Crossness,Bexley,LONDON,SE2,20,TQ480800
Crouch End,Haringey,LONDON,N8,20,TQ295885
Crystal Palace,Bromley,LONDON,"SE19, SE20, SE26",20,TQ341708
Cubitt Town,Tower Hamlets,LONDON,E14,20,TQ385795
Custom House,Newham,LONDON,E16,20,TQ408807
Dalston,Hackney,LONDON,E8,20,TQ345845
Dartmouth Park,Camden,LONDON,NW5,20,TQ287861
De Beauvoir Town,Islington,LONDON,N1,20,TQ332842
Denmark Hill,Southwark,LONDON,SE5,20,TQ327760
Deptford,Lewisham,LONDON,SE8,20,TQ365775
Dollis Hill,Brent,LONDON,NW2,20,TQ225865
Dulwich,Southwark,LONDON,SE21,20,TQ345725
Ealing,Ealing,LONDON,"W5, W13",20,TQ175805
Earls Court,Kensington and Chelsea,LONDON,"SW5, SW10",20,TQ254784
Earlsfield,Wandsworth,LONDON,SW18,20,TQ265735
East Dulwich,Southwark,LONDON,SE22,20,TQ345745
East Finchley,Barnet,LONDON,N2,20,TQ265895
East Ham,Newham,LONDON,E6,20,TQ425835
East Sheen,Richmond upon Thames,LONDON,SW14,20,TQ205755
Edmonton,Enfield,LONDON,"N9, N18",20,TQ335925
Elephant and Castle,Southwark,LONDON,"SE1, SE11, SE17",20,TQ319789
Eltham,Greenwich,LONDON,SE9,20,TQ425745
Farringdon,Islington & City,LONDON,EC1,20,TQ315818
Finchley,Barnet,LONDON,"N2, N3, N12",20,TQ255905
Finsbury,Islington,LONDON,EC1,20,TQ315825
Finsbury Park,Haringey,LONDON,N4,20,TQ314872
Fitzrovia,Camden,LONDON,W1,20,TQ293816
Forest Gate,Newham,LONDON,E7,20,TQ405855
Forest Hill,Lewisham,LONDON,SE23,20,TQ354736
Fortis Green,Haringey,LONDON,N10,20,TQ281896
Friern Barnet,Barnet,LONDON,N11,20,TQ276920
Frognal,Camden,LONDON,NW3,20,TQ257853
Fulham,Hammersmith and Fulham,LONDON,SW6,20,TQ245765
Gipsy Hill,Lambeth,LONDON,"SE19, SE27",20,TQ332710
Golders Green,Barnet,LONDON,NW11,20,TQ248876
Gospel Oak,Camden,LONDON,"NW5, NW3",20,TQ285855
Grahame Park,Barnet,LONDON,NW9,20,TQ217905
Grange Park,Enfield,LONDON,N21,20,TQ313962
Greenwich,Greenwich,LONDON,SE10,20,TQ395775
Grove Park,Lewisham,LONDON,SE12,20,TQ404722
Gunnersbury,Hounslow,LONDON,W4,20,TQ195785
Hackney,Hackney,LONDON,E8,20,TQ345845
Hackney Marshes,Hackney,LONDON,E9,20,TQ375845
Hackney Wick,Hackney,LONDON,E9,20,TQ375845
Haggerston,Hackney,LONDON,E2,20,TQ335835
The Hale,Barnet,LONDON,NW7,20,TQ205918
Hammersmith,Hammersmith and Fulham,LONDON,W6,20,TQ233786
Hampstead,Camden,LONDON,NW3,20,TQ265855
Hampstead Garden Suburb,Barnet,LONDON,N2,20,TQ265885
Hanwell,Ealing,LONDON,W7,20,TQ153802
Harlesden,Brent,LONDON,NW10,20,TQ215835
Harringay,Haringey,LONDON,"N4, N8, N15",20,TQ317887
Hendon,Barnet,LONDON,NW4,20,TQ229887
Herne Hill,Lambeth,LONDON,SE24,20,TQ325745
Highams Park,Waltham Forest,LONDON,E4,20,TQ375915
Highbury,Islington,LONDON,N5,20,TQ319854
Highgate,Camden,LONDON,N6,20,TQ285875
Hither Green,Lewisham,LONDON,SE13,20,TQ395745
Holborn,Camden,LONDON,"WC1, WC2",20,TQ305815
Holland Park,Kensington and Chelsea,LONDON,"W8, W11, W14",20,TQ246798
Holloway,Islington,LONDON,N7,20,TQ306859
Homerton,Hackney,LONDON,E9,20,TQ355855
Honor Oak,Lewisham,LONDON,SE,20,TQ355745
Horn Park,Greenwich,LONDON,SE12,20,TQ408739
Hornsey,Haringey,LONDON,N8,20,TQ305895
Hoxton,Hackney,LONDON,N1,20,TQ335835
The Hyde,Barnet,LONDON,NW9,20,TQ215888
Isle of Dogs,Tower Hamlets,LONDON,E14,20,TQ375785
Islington,Islington,LONDON,N1,20,TQ315845
Kennington,Lambeth,LONDON,SE11,20,TQ305775
Kensal Green,Brent,LONDON,"NW10, NW6",20,TQ235825
Kensington,Kensington and Chelsea,LONDON,SW7,20,TQ255795
Kentish Town,Camden,LONDON,NW5,20,TQ285845
Kidbrooke,Greenwich,LONDON,SE3,20,TQ415765
Kilburn,"Brent, Camden",LONDON,NW6,20,TQ245835
King's Cross,Camden and Islington,LONDON,WC1,20,TQ315835
Kingsbury,Brent,LONDON,NW9,20,TQ195885
Kingston Vale,Kingston upon Thames,LONDON,SW15,20,TQ215715
Knightsbridge,Westminster,LONDON,SW1,20,TQ275795
Ladywell,Lewisham,LONDON,"SE4, SE13",20,TQ37777459
Lambeth,Lambeth,LONDON,SE1,20,TQ305785
Lea Bridge,Hackney,LONDON,E10,20,TQ355865
Leamouth,Tower Hamlets,LONDON,E14,20,TQ394807
Lee,Lewisham,LONDON,SE12,20,TQ395745
Lewisham,Lewisham,LONDON,SE13,20,TQ385755
Leyton,Waltham Forest,LONDON,"E10, E15",20,TQ375865
Leytonstone,Waltham Forest,LONDON,E11,20,TQ395875
Limehouse,Tower Hamlets,LONDON,E14,20,TQ365815
Lisson Grove,Westminster,LONDON,NW8,20,TQ275825
Little Ilford,Newham,LONDON,E12,20,TQ435855
Lower Clapton,Hackney,LONDON,E5,20,TQ355855
Maida Vale,Westminster,LONDON,W9,20,TQ255825
Manor House,Hackney,LONDON,N4,20,TQ320876
Manor Park,Newham,LONDON,E12,20,TQ425855
Maryland,Newham,LONDON,E15,20,TQ391849
Marylebone(also St Marylebone),Westminster,LONDON,W1,20,TQ285815
Mayfair,Westminster,LONDON,W1,20,TQ285805
Maze Hill,Greenwich,LONDON,SE10,20,TQ402780
Merton Park,Merton,LONDON,SW19,20,TQ250695
Middle Park,Greenwich,LONDON,SE9,20,TQ417738
Mile End,Tower Hamlets,LONDON,E1,20,TQ365825
Mill Hill,Barnet,LONDON,NW7,20,TQ225925
Millbank,Westminster,LONDON,SW1,20,TQ295795
Millwall,Tower Hamlets,LONDON,E14,20,TQ375785
Mortlake,Richmond upon Thames,LONDON,SW14,20,TQ205755
Mottingham,Bromley,LONDON,SE9,20,TQ415725
Muswell Hill,Haringey and Barnet,LONDON,N10,20,TQ287897
Nag's Head,Islington,LONDON,N7,20,TQ306859
Neasden,Brent,LONDON,"NW2, NW10",20,TQ215855
New Cross,Lewisham,LONDON,SE14,20,TQ365765
New Eltham,Greenwich,LONDON,SE9,20,TQ440730
New Southgate,Barnet,LONDON,N11,20,TQ295925
Newington,Southwark,LONDON,"SE1, SE17",20,TQ325795
Nine Elms,Wandsworth,LONDON,SW8,20,TQ295775
Norbury,Croydon,LONDON,SW16,20,TQ315695
North Finchley,Barnet,LONDON,N12,20,TQ265925
North Kensington,Kensington and Chelsea,LONDON,"W10, W11",20,TQ255795
North Woolwich,Newham,LONDON,E16,20,TQ435795
Notting Hill,Kensington and Chelsea,LONDON,W11,20,TQ245805
Nunhead,Southwark,LONDON,SE15,20,TQ355755
Oakleigh Park,Barnet,LONDON,N20,20,TQ265935
Old Ford,Tower Hamlets,LONDON,E3,20,TQ365835
Old Oak Common,Hammersmith and Fulham,LONDON,NW10,20,TQ216823
Osidge,Barnet,LONDON,N14,20,TQ285945
Paddington,Westminster,LONDON,W2,20,TQ267814
Palmers Green,Enfield,LONDON,N13,20,TQ305935
Park Royal,Brent and Ealing,LONDON,NW10,20,TQ195828
Parsons Green,Hammersmith and Fulham,LONDON,SW6,20,TQ255765
Peckham,Southwark,LONDON,SE15,20,TQ345765
Penge,Bromley,LONDON,SE20,20,TQ345705
Pentonville,Islington,LONDON,N1,20,TQ315835
Pimlico,Westminster,LONDON,SW1,20,TQ295785
Plaistow,Newham,LONDON,E13,20,TQ405825
Plumstead,Greenwich,LONDON,SE18,20,TQ445785
Poplar,Tower Hamlets,LONDON,E14,20,TQ375805
Primrose Hill,Camden,LONDON,"NW1, NW3, NW8",20,TQ282838
Putney,Wandsworth,LONDON,SW15,20,TQ235755
Queen's Park,Brent,LONDON,NW6,20,TQ246832
Ratcliff,Tower Hamlets,LONDON,E1,20,TQ355805
Raynes Park,Merton,LONDON,SW20,20,TQ235685
Roehampton,Wandsworth,LONDON,SW15,20,TQ225745
Rotherhithe,Southwark,LONDON,SE16,20,TQ358796
Sands End,Hammersmith and Fulham,LONDON,SW6,20,TQ265765
Selhurst,Croydon,LONDON,SE25,20,TQ340684
Seven Sisters,Haringey,LONDON,N15,20,TQ334888
Shacklewell,Hackney,LONDON,"E8, N16",20,TQ335855
Shadwell,Tower Hamlets,LONDON,E1,20,TQ355805
Shepherd's Bush,Hammersmith and Fulham,LONDON,W12,20,TQ235798
Shooter's Hill,Greenwich,LONDON,SE18,20,TQ435765
Shoreditch,Hackney,LONDON,N1,20,TQ325825
Silvertown,Newham,LONDON,E16,20,TQ415795
Snaresbrook,"Redbridge, Waltham Forest",LONDON,E11,20,TQ395895
Soho,Westminster,LONDON,W1,20,TQ295815
Somerstown,Camden,LONDON,NW1,20,TQ295825
South Hackney,Hackney,LONDON,E9,20,TQ355845
South Kensington,Kensington and Chelsea,LONDON,"SW7, SW3, SW5",20,TQ265785
South Norwood,Croydon,LONDON,SE25,20,TQ340684
South Wimbledon,Merton,LONDON,SW19,20,TQ255705
South Woodford,Redbridge,LONDON,E18,20,TQ405905
South Tottenham,Haringey,LONDON,"N15, N17",20,TQ335885
Southend,Lewisham,LONDON,SE6,20,TQ373721
Southfields,Wandsworth,LONDON,"SW18, SW19",20,TQ255735
Southgate,Enfield,LONDON,N14,20,TQ296942
Spitalfields,Tower Hamlets,LONDON,E1,20,TQ335815
St James's,Westminster,LONDON,SW1,20,TQ295805
St Giles,Camden,LONDON,WC2,20,TQ305815
St Johns,Lewisham,LONDON,SE4,20,TQ375765
St John's Wood,Westminster,LONDON,NW8,20,TQ265835
St Luke's,Islington,LONDON,EC1,20,TQ325825
St Pancras,Camden,LONDON,WC1,20,TQ305825
Stamford Hill,Hackney,LONDON,"N15, N16",20,TQ335875
Stepney,Tower Hamlets,LONDON,E1,20,TQ355814
Stockwell,Lambeth,LONDON,"SW8, SW9",20,TQ305755
Stoke Newington,Hackney,LONDON,N16,20,TQ335865
Stratford,Newham,LONDON,E15,20,TQ385845
Streatham,Lambeth,LONDON,SW16,20,TQ305715
Stroud Green,Haringey,LONDON,N4,20,TQ311881
Surrey Quays,Southwark,LONDON,SE16,20,TQ356789
Swiss Cottage,Camden,LONDON,NW3,20,TQ266842
"Sydenham (also Lower Sydenham,",Lewisham,LONDON,SE26,20,TQ352714
Sydenham Hill,Lewisham,LONDON,"SE21, SE26",20,TQ352714
Temple,"City, Westminster",LONDON,"EC4, WC2",20,TQ311809
Tooting,Wandsworth,LONDON,SW17,20,TQ275715
Tooting Bec,Wandsworth,LONDON,SW17,20,TQ275715
Tottenham,Haringey,LONDON,"N15, N17",20,TQ335905
Tottenham Green,Haringey,LONDON,N15,20,TQ337892
Tottenham Hale,Haringey,LONDON,"N15, N17",20,TQ345895
Totteridge,Barnet,LONDON,N20,20,TQ245945
Tower Hill,Tower Hamlets,LONDON,EC3,20,TQ333806
Tufnell Park,Islington,LONDON,"N7, N19",20,TQ295855
Tulse Hill,Lambeth,LONDON,"SE24, SE27",20,TQ315735
Turnpike Lane,Haringey,LONDON,N8,20,TQ305905
Upper Clapton,Hackney,LONDON,E5,20,TQ345875
Upper Holloway,Islington,LONDON,N19,20,TQ297867
Upper Norwood,Croydon,LONDON,SE19,20,TQ329707
Upper Walthamstow,Waltham Forest,LONDON,E17,20,TQ385895
Upton Park,Newham,LONDON,"E6, E13",20,TQ405837
Vauxhall,Lambeth,LONDON,SW8,20,TQ305785
Walthamstow,Waltham Forest,LONDON,E17,20,TQ375865
Walthamstow Village,Waltham Forest,LONDON,E17,20,TQ385895
Walworth,Southwark,LONDON,SE17,20,TQ325785
Wandsworth,Wandsworth,LONDON,SW18,20,TQ255755
Wanstead,Redbridge,LONDON,E11,20,TQ405885
Wapping,Tower Hamlets,LONDON,E1,20,TQ345805
Well Hall,Greenwich,LONDON,SE9,20,TQ425751
West Brompton,Kensington and Chelsea,LONDON,SW10,20,TQ253779
West Ealing,Ealing,LONDON,W13,20,TQ153802
West Green,Haringey,LONDON,N15,20,TQ324892
West Ham,Newham,LONDON,"E13, E15",20,TQ405837
West Hampstead,Camden,LONDON,NW6,20,TQ255855
West Heath,Bexley,LONDON,SE2,20,TQ475775
West Hendon,Barnet,LONDON,NW9,20,TQ215885
West Kensington,Hammersmith and Fulham,LONDON,W14,20,TQ246783
West Norwood,Lambeth,LONDON,SE27,20,TQ325715
Westcombe Park,Greenwich,LONDON,SE3,20,TQ402780
Westminster,Westminster,LONDON,SW1,20,TQ295795
Whetstone,Barnet,LONDON,N20,20,TQ265935
White City,Hammersmith and Fulham,LONDON,W12,20,TQ233807
Whitechapel,Tower Hamlets,LONDON,E1,20,TQ335815
Willesden,Brent,LONDON,NW10,20,TQ227846
Wimbledon,Merton,LONDON,"SW19, SW20",20,TQ239709
Winchmore Hill,Enfield,LONDON,N21,20,TQ315945
Wood Green,Haringey,LONDON,N22,20,TQ305905
Woodford,Redbridge,LONDON,"IG8, E18",20,TQ405915
Woodside Park,Barnet,LONDON,N12,20,TQ256925
Woolwich,Greenwich,LONDON,SE18,20,TQ435795
Wormwood Scrubs,Hammersmith and Fulham,LONDON,W12,20,TQ225815